"League","variable","mean","sd","min","25%","50%","75%","max"
"LCK","totalMinionsKilled.mean",123.91158832148,81.0181952653996,15.0833333333333,26.3950274725275,180.912417582418,187.791055456172,212.590909090909
"LCK","totalTimeCCDealt.mean",227.897114340246,137.382218869271,72.3953488372093,139.110431235431,192.808315715292,288.74043956044,982.413043478261
"LCK","baronKills.mean",0.071446150970727,0.107348461379135,0,0.00263157894736842,0.0229885057471264,0.0704253611556982,0.386666666666667
"LCK","dragonKills.mean",0.291284799795688,0.531379865424365,0,0.0153318903318903,0.0473389355742297,0.109943181818182,1.97530864197531
"LCK","totalDamageDealt.mean",116630.453462578,52289.4531079537,15472.6666666667,120061.076470588,132308.01054952,147123.353631621,211587.793103448
"LCK","totalDamageTaken.mean",18600.1936368181,4153.00140897153,12549.2134831461,15228.1218607306,17712.3111658456,22370.2627335744,25643.7954545455
"LCK","totalDamageDealtToChampions.mean",15705.163887657,5126.12846273099,5134.33333333333,13854.1192045455,17661.1967086835,19570.0281198686,23379.0952380952
"LCK","damageDealtToObjectives.mean",9846.57869677536,7984.44588447948,1067.60674157303,5384.95641304348,7346.49983912484,11286.3664392723,29941.1764705882
"LCK","goldEarnedPerMinute.mean",420.30580172228,70.2278082364017,266.553476605039,424.129713882268,440.838759440537,460.799606893725,518.187052546668
"LCK CL","goldEarned.mean",9659.99306309455,1973.88985166321,5819,7970.89880952381,10242.8232475356,10764.6098014888,12558.4047619048
"LCK CL","kills.mean",4.47301073302887,2.07623563199482,1.33333333333333,2.21428571428571,4.77553927553928,6.09264184397163,7.53061224489796
"LCK CL","deaths.mean",4.5765161789547,0.897394098857903,3.35714285714286,3.87679288582903,4.50263157894737,4.96641791044776,7.13829787234043
"LCK CL","assists.mean",7.52593185531604,3.10367105883686,2.77777777777778,5.32161854103343,6.59330655957162,8.51923076923077,14.4029850746269
"LCK CL","champExperience.mean",10758.0850631609,2213.97542967985,5807.5,9029.93154761905,11259.0306122449,12407.4811403509,14153.625
"LCK CL","player.WR.mean",0.544301742519257,0.0925553102731844,0.333333333333333,0.501923076923077,0.53586265884653,0.59478021978022,0.857142857142857
"LCK CL","turretKills.mean",0.997515883103925,0.684957678147014,0,0.363095238095238,1.05254515599343,1.5248987854251,2.33333333333333
